# Env keys under C:\cevict-live (sorted by key name)
# Generated: 2026-02-04 04:29:54
#
KEY	HAS_VALUE	FILE(S)	VALUE_OR_MASKED
INDICES_MIN_EDGE	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
JWT_SECRET	yes	old-cevict-monorepo\apps\calmcast\.env.example	(use -IncludeValues to show)
KALSHI_AI_BATCH_SIZE	yes	.env.local.backup; apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
KALSHI_API_KEY_ID	yes	.env.local; .env.local.backup; .env.local_01142025; .env.template.txt; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local; apps\alpha-hunter\.env.local.backup; apps\alpha-hunter\.env.local.backup2; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.backup_working; apps\alpha-hunter\.env.local.MASTER_BACKUP; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local-old; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\alpha-hunter\environments\test\.env.local; apps\alpha-hunter\environments\test\.env.local; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\gulfcoastcharters\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.vercel\.env.preview.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; backups\_20260108_0705cevict\.env.local; backups\_20260108_0705launchpad\.env.local; backups\_20260108_0705petreunion\.env.local; backups\_20260108_0705petreunion\.vercel\.env.preview.local; backups\_20260108_0711cevict\.env.local; backups\_20260108_0711launchpad\.env.local; backups\_20260108_0711petreunion\.env.local; backups\_20260108_0711petreunion\.vercel\.env.preview.local; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup2; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_working; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
KALSHI_API_PATH	yes	apps\alpha-hunter\arbitrage-v2\.env.local-old	(use -IncludeValues to show)
KALSHI_BASE_URL	yes	.env.template.txt; apps\alpha-hunter\arbitrage-v2\.env.local-old	(use -IncludeValues to show)
KALSHI_DEMO_API_KEY	no	apps\praxis.original\.env.example	(use -IncludeValues to show)
KALSHI_DEMO_PRIVATE_KEY	no	apps\praxis.original\.env.example	(use -IncludeValues to show)
KALSHI_ENV	yes	.env.local; .env.local.backup; .env.local_01142025; .env.template.txt; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local; apps\alpha-hunter\.env.local.backup; apps\alpha-hunter\.env.local.backup2; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.backup_working; apps\alpha-hunter\.env.local.MASTER_BACKUP; apps\alpha-hunter\.env.local.MASTER_BACKUP; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local-old; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\gulfcoastcharters\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.vercel\.env.preview.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; backups\_20260108_0705cevict\.env.local; backups\_20260108_0705launchpad\.env.local; backups\_20260108_0705petreunion\.env.local; backups\_20260108_0705petreunion\.vercel\.env.preview.local; backups\_20260108_0711cevict\.env.local; backups\_20260108_0711launchpad\.env.local; backups\_20260108_0711petreunion\.env.local; backups\_20260108_0711petreunion\.vercel\.env.preview.local; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup2; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_working; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
KALSHI_ENVIRONMENT	yes	apps\praxis.original\.env.example	(use -IncludeValues to show)
KALSHI_FEES_PERCENT	yes	apps\alpha-hunter\arbitrage-v2\.env.local-old	(use -IncludeValues to show)
KALSHI_INTERVAL	yes	.env.local.backup; apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
KALSHI_MIN_BALANCE	yes	apps\alpha-hunter\environments\test\.env.test	(use -IncludeValues to show)
KALSHI_PRIVATE_KEY	yes	.env.local; .env.local.backup; .env.local_01142025; .env.template.txt; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup; apps\alpha-hunter\.env.local.backup2; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.backup_working; apps\alpha-hunter\.env.local.MASTER_BACKUP; apps\alpha-hunter\arbitrage-v2\.env.local-old; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\alpha-hunter\environments\test\.env.local; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\gulfcoastcharters\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.vercel\.env.preview.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; backups\_20260108_0705cevict\.env.local; backups\_20260108_0705launchpad\.env.local; backups\_20260108_0705petreunion\.env.local; backups\_20260108_0705petreunion\.vercel\.env.preview.local; backups\_20260108_0711cevict\.env.local; backups\_20260108_0711launchpad\.env.local; backups\_20260108_0711petreunion\.env.local; backups\_20260108_0711petreunion\.vercel\.env.preview.local; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup2; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_working; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
KALSHI_PRIVATE_KEY_PATH	yes	.env.local; .env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local-old; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\alpha-hunter\environments\test\.env.local; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup	(use -IncludeValues to show)
KALSHI_PROD_API_KEY	no	apps\praxis.original\.env.example	(use -IncludeValues to show)
KALSHI_PROD_PRIVATE_KEY	no	apps\praxis.original\.env.example	(use -IncludeValues to show)
KALSHI_RATE_LIMIT_MAX	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
KALSHI_RATE_LIMIT_REFILL	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
KALSHI_USDC_DEPOSIT_ADDRESS	yes	.env.local.backup; apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
KALSHI_USDC_NETWORK	yes	.env.local.backup; apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
KILL_SWITCH	yes	cloud-orchestrator\.env.example	(use -IncludeValues to show)
KILL_SWITCH_SECRET	yes	cloud-orchestrator\.env.example	(use -IncludeValues to show)
LENDING_AUTO_COMPOUND	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
LENDING_MAX_AMOUNT	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
LENDING_MIN_AMOUNT	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
LENDING_TARGET_UTIL	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
LIQUIDITY_MAX_CAPITAL	yes	.env.local.backup; .env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
LIQUIDITY_MAX_INVENTORY_PER_SIDE	yes	.env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
LIQUIDITY_MAX_MARKET_DRAWDOWN	yes	.env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
LIQUIDITY_MIN_ORDER	yes	.env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
LIQUIDITY_ORDER_SIZE	yes	.env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
LIQUIDITY_PRICE_MOVE_CANCEL_CENTS	yes	.env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
LIQUIDITY_REWARD_PNL_ALERT	yes	.env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
LIQUIDITY_REWARD_RATE	yes	.env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
LOG_LEVEL	yes	apps\alpha-hunter\arbitrage-v2\.env.local-old; old-cevict-monorepo\apps\calmcast\.env.example	(use -IncludeValues to show)
MAX_AI_CALLS_PER_DAY	yes	.env.local.backup; apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
MAX_AI_CALLS_PER_HOUR	yes	apps\alpha-hunter\arbitrage-v2\.env.local-old	(use -IncludeValues to show)
MAX_CONSECUTIVE_LOSSES	yes	apps\alpha-hunter\arbitrage-v2\.env.local-old	(use -IncludeValues to show)
MAX_DAILY_EXPOSURE_USD	yes	apps\alpha-hunter\arbitrage-v2\.env.local-old	(use -IncludeValues to show)
MAX_DAILY_LOSS	yes	.env.local.backup; apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local; apps\alpha-hunter\.env.local.backup; apps\alpha-hunter\.env.local.backup2; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.backup_working; apps\alpha-hunter\.env.local.MASTER_BACKUP; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup2; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_working; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
MAX_DAILY_LOSS_USD	yes	apps\alpha-hunter\arbitrage-v2\.env.local-old	(use -IncludeValues to show)
MAX_IMAGE_SIZE_MB	yes	apps\gulfcoastcharters\.env.example; old-cevict-monorepo\apps\wheretovacation\.env.example	(use -IncludeValues to show)
MAX_KALSHI_COORDINATOR	yes	.env.local.backup; apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
MAX_KALSHI_MARKETS	yes	.env.local.backup; apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
MAX_OPEN_POSITIONS	yes	apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local; apps\alpha-hunter\.env.local.backup2; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.backup_working; apps\alpha-hunter\.env.local.MASTER_BACKUP; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup2; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_working; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
MAX_POSITION_SIZE_USD	yes	apps\alpha-hunter\arbitrage-v2\.env.local-old	(use -IncludeValues to show)
MAX_REASONABLE_ARB_PROFIT	yes	apps\prognostication\progno-massager\.env.local; apps\prognostication\progno-massager\.env.local.example; backups\_20260108_0705progno-massager\.env.local; backups\_20260108_0711progno-massager\.env.local	(use -IncludeValues to show)
MAX_SINGLE_TRADE	yes	apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local; apps\alpha-hunter\.env.local.backup; apps\alpha-hunter\.env.local.backup2; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.backup_working; apps\alpha-hunter\.env.local.MASTER_BACKUP; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup2; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_working; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
MAX_TRADE_SIZE	yes	apps\alpha-hunter\environments\test\.env.test	(use -IncludeValues to show)
MEDIUM_SIZE	yes	apps\gulfcoastcharters\.env.example; old-cevict-monorepo\apps\wheretovacation\.env.example	(use -IncludeValues to show)
MESH_REGISTRATION_KEY	no	backups\_20260108_0705local-agent\.env.local; backups\_20260108_0711local-agent\.env.local	(use -IncludeValues to show)
MESH_SECRET_KEY	no	backups\_20260108_0705local-agent\.env.local; backups\_20260108_0711local-agent\.env.local	(use -IncludeValues to show)
MICRO_TRADER_INTERVAL	yes	.env.local.backup; apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
MICROCAP_THREAD_INTERVAL	yes	.env.local.backup; apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
MIN_ARBITRAGE_EDGE_CENTS	yes	apps\alpha-hunter\arbitrage-v2\.env.local-old	(use -IncludeValues to show)
